                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                 1.0013,                0.46113,                 1.4033,                0.97782,                0.95966,                 0.9833,                0.70227,                 1.1068,                0.38062,                 1.5586,                0.00637,                0.00637,                0.00637
                    112,                 1.0002,                0.46019,                 1.4014,                0.97663,                0.96035,                0.98324,                0.70259,                 1.1063,                0.37963,                 1.5579,               0.006337,               0.006337,               0.006337
                    113,                 1.0007,                0.46156,                  1.403,                0.98124,                0.95696,                0.98353,                0.70326,                 1.1056,                0.37912,                 1.5574,               0.006304,               0.006304,               0.006304
                    114,                0.99554,                0.45774,                 1.3983,                0.98076,                0.95614,                 0.9832,                0.70344,                 1.1047,                  0.379,                 1.5567,               0.006271,               0.006271,               0.006271
                    115,                0.99877,                0.46226,                 1.4021,                 0.9765,                0.96201,                0.98311,                0.70377,                 1.1036,                0.37817,                 1.5557,               0.006238,               0.006238,               0.006238
                    116,                0.99203,                0.45562,                 1.3972,                0.97822,                0.95966,                0.98293,                0.70408,                 1.1029,                0.37767,                 1.5551,               0.006205,               0.006205,               0.006205
                    117,                0.99684,                 0.4607,                  1.404,                0.97827,                0.95966,                0.98311,                0.70444,                 1.1024,                0.37729,                 1.5549,               0.006172,               0.006172,               0.006172
                    118,                0.99336,                0.45818,                 1.3976,                0.97813,                0.95966,                 0.9831,                0.70419,                 1.1021,                  0.377,                 1.5548,               0.006139,               0.006139,               0.006139
                    119,                0.99364,                0.45616,                 1.3918,                0.97796,                0.95966,                0.98328,                0.70479,                 1.1016,                0.37634,                 1.5546,               0.006106,               0.006106,               0.006106
                    120,                0.99135,                0.45694,                 1.4005,                0.97808,                0.95919,                0.98328,                0.70486,                 1.1012,                0.37613,                 1.5547,               0.006073,               0.006073,               0.006073
                    121,                0.98945,                0.45654,                 1.3987,                0.97813,                0.95919,                0.98326,                0.70507,                 1.1008,                 0.3761,                 1.5547,                0.00604,                0.00604,                0.00604
                    122,                0.99801,                0.45661,                 1.3963,                0.97798,                0.95872,                0.98316,                0.70545,                 1.1009,                0.37583,                 1.5544,               0.006007,               0.006007,               0.006007
                    123,                0.99141,                0.45286,                 1.3953,                0.97771,                0.95872,                0.98322,                0.70489,                 1.1006,                0.37568,                 1.5541,               0.005974,               0.005974,               0.005974
                    124,                0.99025,                0.45272,                 1.3914,                0.97897,                0.95779,                 0.9833,                0.70479,                 1.1006,                0.37517,                  1.554,               0.005941,               0.005941,               0.005941
                    125,                0.98767,                0.45481,                 1.3891,                0.97948,                0.95872,                0.98352,                0.70452,                 1.1003,                0.37494,                  1.554,               0.005908,               0.005908,               0.005908
                    126,                0.98454,                0.45125,                 1.3851,                0.97985,                0.95804,                0.98342,                0.70471,                    1.1,                0.37432,                 1.5541,               0.005875,               0.005875,               0.005875
                    127,                0.98739,                0.45381,                 1.3875,                0.98128,                0.95867,                 0.9836,                0.70435,                    1.1,                0.37424,                 1.5542,               0.005842,               0.005842,               0.005842
                    128,                0.99177,                0.45506,                 1.3919,                0.98128,                0.95883,                0.98334,                0.70431,                 1.0997,                0.37359,                 1.5544,               0.005809,               0.005809,               0.005809
                    129,                0.98831,                0.45379,                 1.3894,                0.98078,                0.95966,                 0.9834,                  0.705,                 1.0996,                0.37285,                 1.5544,               0.005776,               0.005776,               0.005776
                    130,                0.98011,                 0.4478,                 1.3902,                0.98095,                0.95919,                0.98347,                0.70492,                 1.0997,                0.37236,                 1.5546,               0.005743,               0.005743,               0.005743
                    131,                0.98512,                 0.4517,                 1.3912,                0.98123,                0.95919,                 0.9836,                0.70532,                 1.0995,                0.37202,                 1.5548,                0.00571,                0.00571,                0.00571
                    132,                0.97776,                0.44702,                 1.3908,                0.98035,                 0.9592,                0.98379,                 0.7057,                 1.0998,                0.37179,                 1.5551,               0.005677,               0.005677,               0.005677
                    133,                0.98496,                0.44836,                 1.3872,                0.98034,                0.95966,                0.98393,                0.70595,                 1.0997,                 0.3717,                 1.5555,               0.005644,               0.005644,               0.005644
                    134,                0.97598,                0.44457,                 1.3845,                0.97922,                0.96013,                0.98395,                0.70491,                 1.0994,                0.37142,                 1.5554,               0.005611,               0.005611,               0.005611
                    135,                0.97726,                0.44709,                 1.3863,                0.97982,                0.96013,                0.98388,                 0.7048,                 1.0996,                0.37205,                 1.5558,               0.005578,               0.005578,               0.005578
                    136,                0.97756,                0.44232,                 1.3887,                0.97922,                 0.9606,                0.98406,                0.70464,                 1.0999,                0.37201,                 1.5565,               0.005545,               0.005545,               0.005545
